GOWANUS EXPRESSWAY,29 STREET,444.0
NEPTUNE AVE,SHEEPSHEAD BAY RD,281.0
CHURCH AVE,E 37th ST,326.0
65 STREET,10 AVENUE,218.0
86th ST,19th AVE,281.0
CROPSEY AVE,BAY 22nd ST,218.0
MESEROLE STREET,LEONARD  ST,326.0
2 AVENUE,EAST 46 STREET,218.0
ALBANY AVE,MIDWOOD ST,326.0
WHITE PLAINS ROAD,EAST 215 STREET,424.0
SEAGRIT BLVD,BEACH 7th ST,424.0
8 AVENUE,CARROLL STREET,204.0
COLUMBIA STREET,DE GRAW STREET,218.0
SHERIDANA AVENUE,EAST 161 STREET,869.0
7 AVE,WEST 148 ST,204.0
LIBERTY AVE,BRISBIN STREET,204.0
BROADWAY,DUANE STREET,869.0
LINDEN BLVD,198 STREET,444.0
AVENUE U,EAST 66 STREET,281.0
3 AVE,EAST 123 ST,204.0
OCEAN AVENUE,FARRAGUT ROAD,326.0
10 AVENUE,WEST 45 STREET,444.0
1 AVENUE,EAST 26 STREET,281.0
SPRINGFIELD BLVD,115 ROAD,424.0
AVENUE OF AMERICAS,WEST 11 STREET,444.0
56 AVE,194 STREET,424.0
9 AVENUE,WEST 45 STREET,326.0
AVE U,W 10th ST,424.0
CONEY ISLAND AVE,CATON AVE,204.0
ALBANY AVENUE,FARRAGUT ROAD,326.0
2 AVENUE,EAST 59 STREET,444.0
39 STREET,12 AVENUE,326.0
EAST 165 STREET,CARROLL PLACE,444.0
8 AVE,WEST 124 ST,869.0
BEDFORD AVE,AVE R,444.0
GLEN STREET,BLOOMFIELD AVENUE,125.0
AVE Z,E 15th ST,869.0
AVE M,E 15th ST,444.0
48th ST,37th AVE,869.0
WEST BROADWAY,PRINCE STREET,218.0
CANAL STREET,BROADWAY,444.0
60 STREET,18 AVENUE,125.0
5 AVENUE,WEST 59 STREET,444.0
FLATLANDS AVE,LOUISIANA AVE,204.0
CHURCH STREET,DUANE STREET,869.0
5 AVENUE,BROADWAY,444.0
NOSTRAND AVENUE,FARRAGUT ROAD,424.0
HEGEMAN AVENUE,FOUNTAIN AVENUE,281.0
11 AVENUE,WEST 43 STREET,869.0
ATLANTIC AVENUE,HINSDALE STREET,326.0
TRINITY PL,EDGER ST,869.0
ARCHER AVE,143 STREET,326.0
METROPOLITAN AVE,UNION AVE,281.0
BROOME STREET,BROADWAY,281.0
EDWARD L GRANT HIGHWAY,NELSON AVENUE,869.0
BRADDOCK AVE,221 PLACE,218.0
BOSTON ROAD,FISH AVENUE,444.0
NORFOLK STREET,DELANCEY STREET,424.0
CHAMBERS STREET,BROADWAY,444.0
HOWARD AVENUE,BAINBRIDGE STREET,204.0
CHURCH AVE,E 13th ST,326.0
AMSTERDAM AVE,WEST 171 ST,218.0
MERRICK BLVD,111 AVE,281.0
3 AVENUE,DEAN STREET,424.0
EAST 163 STREET,INTERVALE AVENUE,281.0
NOSTRAND AVE,AVE P,444.0
FINGERBOARD ROAD,CLEVELAND PLACE,218.0
LINDEN BLVD,198 STREET,218.0
RICHMOND ROAD,BALTIC AVENUE,218.0
7 AVE,WEST 122 ST,125.0
EAST 14 STREET,4 AVENUE,125.0
CENTRAL PARK WEST,WEST 61 STREET,869.0
BRINKERHOFF AVE,111 AVE,326.0
4 AVENUE,28 STREET,204.0
MORLEY AVENUE,DALTON  AVENUE,281.0
CATON AVE,E 18th ST,444.0
LAFAYETTE AVE,CLASSON AVE,424.0
SHORE PKWY,BAY 46th ST,204.0
3 AVENUE,BALTIC STREET,424.0
115 ROAD,205 STREET,125.0
14 AVENUE,72 STREET,125.0
EAST 204 STREET,GRAND CONCOURSE,869.0
AVENUE M,EAST 45 STREET,444.0
FRANCIS LEWIS BLVD,115 DRIVE,424.0
5 AVENUE,24 STREET,326.0
BROADWAY,GRANITE STREET,444.0
BROADWAY,WEST 98 ST,204.0
8 AVENUE,WEST 26 STREET,326.0
BROADWAY,WEST 175 ST,326.0
AVENUE D,BROOKLYN AVENUE,326.0
BROADWAY,EAST 11 STREET,869.0
E 176 ST,MARMION AVENUE,125.0
7 AVE,WEST 118 ST,281.0
HOMELAWN STREET,84 AVE,869.0
MORRIS AVENUE,EAST 153 STREET,281.0
10 AVENUE,67 STREET,281.0
MYRTLE AVE,CLASSON AVE,204.0
ORIENTAL BLVD,HASTINGS ST,424.0
7 AVE,WEST 123 ST,281.0
5 AVENUE,BROADWAY,204.0
COMMERCIAL ST,CLAY ST,125.0
KEW GARDENS ROAD,80 ROAD,125.0
8 AVENUE,66 STREET,125.0
WOODHAVEN BLVD,97th AVE,326.0
THROGS NECK EXPRESSWAY,HARDING AVENUE,125.0
WEST BROADWAY,DUANE STREET,125.0
AMSTERDAM AVE,WEST 168 ST,326.0
1 AVENUE,EAST 73 STREET,218.0
2 AVENUE,EAST 73 STREET,281.0
111 AVE,142 STREET,218.0
NOSTRAND AVE,AVE P,204.0
BOSTON ROAD,FISH AVENUE,204.0
AMSTERDAM AVE,WEST 167 ST,281.0
CHAMBERS STREET,BROADWAY,204.0
HOWARD AVENUE,BAINBRIDGE STREET,444.0
ATLANTIC AVE,LINCOLN AVE,326.0
BOWERY,EAST HOUSTON STREET,125.0
